Gender:,Age:,Which country do you currently live in? ,Brown,Shorten,Howard,Turnbull,Tunsil,Miller,Wilson,Bullard
1,31,United States,,,3,,,,1,
1,31,usa,1,,,,,,,4
2,37,umited states,,,3,,,2,,
2,46,USA,,2,,,,2,,
2,52,USA,,,,4,,2,,
1,30,USA,,,3,,,4,,
2,41,USA,1,,,,,,4,
1,23,United States,,2,,,,2,,
1,65,USA,,2,,,,2,,
1,46,USA,,,3,,,,3,
1,59,united state of america,,,3,,,2,,
2,47,USA,,,3,,,2,,
1,54,USA,,,,4,,,1,
